country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,1,1,1,1,1,1,1,1,1,1,1,1,1,8,8
Angola,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Albania,0,0,0,7,7,7,7,7,7,7,9,9,9,9,9
United Arab Emirates,4,4,4,4,4,4,4,4,6,10,10,10,10,10,10
Argentina,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Armenia,5,5,5,5,5,5,5,5,5,5,5,5,5,6,7
Antigua and Barbuda,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Australia,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Austria,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Azerbaijan,4,4,4,7,7,7,7,7,7,7,10,10,10,10,10
Burundi,4,4,4,4,4,4,8,8,8,8,8,8,8,8,8
Belgium,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Benin,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7
Burkina Faso,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7
Bangladesh,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Bulgaria,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Bahrain,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Bahamas,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3
Bosnia and Herzegovina,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Belarus,1,1,5,5,5,5,7,7,7,7,7,7,7,7,6
Belize,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Bolivia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Brazil,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Barbados,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Brunei,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Bhutan,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Botswana,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7
Central African Republic,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7
Canada,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Switzerland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chile,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8
China,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Cote d'Ivoire,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7
