country,2019
Afghanistan,173
Angola,177
Albania,82
United Arab Emirates,16
Argentina,126
Armenia,47
Antigua and Barbuda,113
Australia,14
Austria,27
Azerbaijan,34
Burundi,166
Belgium,46
Benin,149
Burkina Faso,151
Bangladesh,168
Bulgaria,61
Bahrain,43
Bahamas,119
Bosnia and Herzegovina,90
Belarus,49
Belize,135
Bolivia,150
Brazil,124
Barbados,128
Brunei,66
Bhutan,89
Botswana,87
Central African Republic,184
Canada,23
Switzerland,36
Chile,59
China,31
Cote d'Ivoire,110
Cameroon,167
"Congo, Dem. Rep.",183
"Congo, Rep.",180
Colombia,67
Comoros,160
Cape Verde,137
Costa Rica,74
Cyprus,54
Czech Republic,41
Germany,22
Djibouti,112
Dominica,111
Denmark,4
Dominican Republic,115
Algeria,157
Ecuador,129
Egypt,114
Eritrea,189
Spain,30
Estonia,18
Ethiopia,159
Finland,20
Fiji,102
France,32
"Micronesia, Fed. Sts.",158
Gabon,169
United Kingdom,8
Georgia,7
Ghana,118
Guinea,156
Gambia,155
Guinea-Bissau,174
Equatorial Guinea,178
Greece,79
Grenada,146
Guatemala,96
Guyana,134
"Hong Kong, China",3
Honduras,133
Croatia,51
Haiti,179
Hungary,52
Indonesia,73
India,63
Ireland,24
Iran,127
Iraq,172
Iceland,26
Israel,35
Italy,58
Jamaica,71
Jordan,75
Japan,29
Kazakhstan,25
Kenya,56
Kyrgyz Republic,80
Cambodia,144
Kiribati,164
St. Kitts and Nevis,139
South Korea,5
Kosovo,57
Kuwait,83
Lao,154
Lebanon,143
Liberia,175
Libya,186
St. Lucia,93
Sri Lanka,99
Lesotho,122
Lithuania,11
Luxembourg,72
Latvia,19
Morocco,53
Moldova,48
Madagascar,161
Maldives,147
Mexico,60
Marshall Islands,153
North Macedonia,17
Mali,148
Malta,88
Myanmar,165
Montenegro,50
Mongolia,81
Mozambique,138
Mauritania,152
Mauritius,13
Malawi,109
Malaysia,12
Namibia,104
Niger,132
Nigeria,131
Nicaragua,142
Netherlands,42
Norway,9
Nepal,94
New Zealand,1
Oman,68
Pakistan,108
Panama,86
Peru,76
Philippines,95
Palau,145
Papua New Guinea,120
Poland,40
Puerto Rico,65
Portugal,39
Paraguay,125
Palestine,117
Qatar,77
Romania,55
Russia,28
Rwanda,38
Saudi Arabia,62
Sudan,171
Senegal,123
Singapore,2
Solomon Islands,136
Sierra Leone,163
El Salvador,91
San Marino,92
Somalia,190
Serbia,44
South Sudan,185
Sao Tome and Principe,170
Suriname,162
Slovak Republic,45
Slovenia,37
Sweden,10
Eswatini,121
Seychelles,100
Syria,176
Chad,182
Togo,97
Thailand,21
Tajikistan,106
Timor-Leste,181
Tonga,103
Trinidad and Tobago,105
Tunisia,78
Turkey,33
Tanzania,141
Uganda,116
Ukraine,64
Uruguay,101
United States,6
Uzbekistan,69
St. Vincent and the Grenadines,130
Venezuela,188
Vietnam,70
Vanuatu,107
Samoa,98
Yemen,187
South Africa,84
Zambia,85
Zimbabwe,140
