country,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,,72,75.2,67.4,84.6,59.5,30.2,26.7,25.8,22.5,14.4,15.1,19,19.9,82.3,6.4,6.8
Angola,1320,910,654,498,344,197,151,227,163,143,130,119,17,20.7,17.4,13.9,11.1
Albania,57.1,32.3,31.3,22.5,46.1,42.5,32.2,31.8,29.3,22.4,21.2,10.1,10.3,12.5,12,11.3,10.8
United Arab Emirates,18.7,17.5,15.8,13,13.9,11.6,11.1,12.6,13.4,11,11.4,11.3,11.2,13,13.4,22.8,17.2
Argentina,13.5,17.3,15.9,15.4,13.6,12.8,16.1,20.7,17.7,15.4,23.2,17.7,11.4,10.8,10.4,5.3,5
Armenia,8.4,7,6.1,5.1,4.8,3.6,2.6,3.1,2.9,2.5,1.1,1,1,0.9,0.9,0.8,0.8
Antigua and Barbuda,,,12.5,12,11.3,11.1,9.2,10.5,11.9,10.4,10,9.7,9.4,9.3,9.1,8.7,8
Australia,2,2.1,1.9,1.8,0.8,0.8,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
Austria,6.1,6,5.7,5.6,5.4,5.1,5.1,5.2,5.2,4.9,4.8,5.5,5.3,5.2,5.1,4.8,4.7
Azerbaijan,16.8,14.4,12.3,9.3,6.9,4.3,2.9,3.1,2.7,2.3,1,3.1,1.7,1.9,1.6,1.3,1.2
Burundi,240,181,190,214,241,207,146,124,117,18.3,17.5,13.4,13.4,13.9,33.9,10.7,12.3
Belgium,11.1,11.3,11.1,5.8,5.6,5.5,5.6,5.7,5.5,5.3,5.3,5.2,5,5,5.6,5.4,5.3
Benin,148,174,168,211,197,198,157,154,150,127,123,55.9,45.4,3.8,3.7,3.6,3.5
Burkina Faso,146,140,137,113,82.1,62.3,50.5,49.9,47.7,46.8,44.5,44.7,43.5,43.4,42.6,43.3,42.8
Bangladesh,,,,,,,,,,,18.9,16.8,14,15.6,22.9,21.2,8.7
Bulgaria,10.4,10.3,9.6,7.9,7.6,3,2.6,2.5,2.3,1.9,1.8,1.5,1.4,1.3,1.2,1.1,1
Bahrain,,,,,0.7,0.6,0.5,0.6,0.9,0.8,1,0.8,0.8,1.2,1,1.1,1
Bahamas,,,,,10.3,9.8,8.5,10.7,10.6,10.3,10.4,10.2,10.8,13.8,13.8,11.4,11
Bosnia and Herzegovina,47.3,45.3,41.2,37.4,30.9,31.6,16.3,28.9,27.9,25.6,25.6,25.2,23.9,22.9,16.1,14.9,13.7
Belarus,20.6,26.6,32.9,26.8,9.5,8.3,2.1,2,1.6,2.5,0.9,0.9,0.9,0.6,0.6,0.5,0.5
Belize,,,38.4,38,37,36.5,35.3,35.8,36.5,36.7,35.4,34.3,34.2,34.6,34.6,34.7,34.3
Bolivia,174,172,153,144,129,106,93.7,95.2,85.4,70,67.6,60.8,51.1,49.7,46.6,39.2,37.3
Brazil,,,,,,,,,,,5.9,5.5,4.8,5.2,4.8,4.7,4.2
Barbados,,,,,,,,,7.6,7.2,7.2,7.6,7.1,7.7,7.6,7.3,7.3
Brunei,,,,8.9,9.1,9.2,9.9,13.6,11.9,10.7,10,10.4,1.2,1.5,1.1,1.2,1.1
Bhutan,21,17.6,16.9,14.1,8.8,7.2,6.8,6.1,6.1,6,4.8,4.2,4,3.8,3.9,3.5,3.7
Botswana,10.4,10.2,10,9.7,9.3,1.7,1.4,1.5,1.1,0.8,0.9,0.8,0.7,0.8,0.7,0.6,0.6
Central African Republic,198,210,217,215,211,238,224,209,157,154,145,200,181,186,155,143,128
Canada,0.6,0.9,0.9,0.8,0.8,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3
Switzerland,8.9,8.9,9,2.5,2.4,2.4,2.3,2.4,2.4,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3
Chile,14.6,12.5,12.8,12.3,11.1,10,9.4,9.3,7.6,7,5.9,5.9,5.9,5.9,5.9,5.7,2.7
China,,,,,,,,,,,1.9,0.9,1.7,1.6,1.5,1.2,1.1
Cote d'Ivoire,140,134,135,134,136,135,133,133,133,130,44.4,20,18.6,18.9,16.5,2.7,2.7
Cameroon,193,183,172,151,144,152,129,46.2,40.4,36,36.4,34.6,33,32.2,35.8,24.8,24.8
"Congo, Dem. Rep.",1490,1230,1190,1080,872,935,848,735,551,285,200,30,29.3,29.3,28.6,26.7,16.3
"Congo, Rep.",169,172,158,140,150,106,86.5,95.2,85.2,55.3,52.1,52.7,52.3,61.2,77.7,75.5,62.2
Colombia,28,25.6,24.7,19.1,18.6,14.9,13.1,14.7,8,7.6,7.5,7.5,14.3,14.1,14,14,14.1
Comoros,,,158,158,149,152,145,138,138,115,90.3,86.9,89.7,98.4,84.1,82.5,54.2
Cape Verde,,,44,45.6,40.1,35.7,17,18.5,17,14.9,13.5,14.3,14.8,14.7,15.4,14.4,13
